package_name;license
django-multiselectfield;LGPL-3.0 License
path-py;MIT License
glfw;MIT License
fastapi;MIT License
jsonpath-ng;Apache-2.0 License
bashlex;GPL-3.0 License
asyncpg;Apache-2.0 License
salesforce-bulk;MIT License
translationstring;License not permissive (text)
webcolors;BSD-3-Clause License
premailer;BSD-3-Clause License
collections-extended;Apache-2.0 License
fake-useragent;Apache-2.0 License
m3u8;MIT License (text)
jwcrypto;LGPL-3.0 License
brotlipy;MIT License
locustio;MIT License
azure-functions-devops-build;MIT License
cufflinks;MIT License
python3-saml;MIT License
vsts-cd-manager;MIT License
javaproperties;MIT License
geohash;AGPL-3.0 License
gql;MIT License
python-whois;MIT License
dash;MIT License
xmlsec;MIT License
rollbar;MIT License
oyaml;MIT License
pvlib;BSD-3-Clause License
django-celery-results;License not permissive (text)
ninja;Apache-2.0 License
cftime;MIT License
loguru;MIT License
editdistance;MIT License
django-widget-tweaks;MIT License
xxhash;BSD-2-Clause License
astropy;BSD-3-Clause License
mxnet;Apache-2.0 License
dash-html-components;License not permissive (text)
warlock;Apache-2.0 License
django-oauth-toolkit;License not permissive (text)
jsonlines;License not permissive (text)
rcssmin;Apache-2.0 License
pykwalify;MIT License
daphne;BSD-3-Clause License
libsass;MIT License
jws;License not found
dulwich;Apache License (text)
netcdf4;MIT License
python-stdnum;LGPL-2.1 License
thriftpy;MIT License
python-openid;Apache-2.0 License
pywinpty;MIT License
sqlalchemy-jsonfield;Apache-2.0 License
jinja2-cli;BSD-2-Clause License
appium-python-client;Apache-2.0 License
python-jwt;MIT License
orjson;Apache License (text)
channels;BSD-3-Clause License
awacs;BSD-2-Clause License
urwid;LGPL-2.1 License
mrjob;Apache License (text)
sseclient-py;Apache-2.0 License
pysaml2;Apache-2.0 License
wsaccel;Apache License (text)
oauth2;MIT License
json-logging-py;MIT License
simpleeval;License not permissive (text)
keyrings-alt;MIT License
capstone;License not permissive (text)
mixpanel;Apache License (text)
isoweek;BSD-2-Clause License
flake8-comprehensions;MIT License
luminol;Apache-2.0 License
django-localflavor;License not permissive (text)
sqlalchemy-migrate;License not found
args;BSD-2-Clause License
pyee;MIT License
protobuf3-to-dict;License not permissive (text)
clint;ISC License
pyusb;BSD-3-Clause License
pathlib-mate;MIT License
lru-dict;MIT License
xarray;Apache-2.0 License
parsimonious;MIT License
django-simple-history;BSD-3-Clause License
snakebite;Apache-2.0 License
cerberus-python-client;Apache-2.0 License
num2words;LGPL-2.1 License
iso3166;MIT License
pytest-ordering;MIT License
ratelim;MIT License
memory-profiler;License not permissive (text)
jupyter-pip;BSD-3-Clause License
robotframework-seleniumlibrary;Apache License (text)
korean-lunar-calendar;MIT License
pyenchant;LGPL-2.1 License
brunel;Apache-2.0 License
rdflib;License not permissive (text)
geocoder;MIT License
google-cloud-dataproc;Apache-2.0 License
django-taggit;License not permissive (text)
pybase64;BSD-2-Clause License
gprof2dot;LGPL-3.0 License
python-decouple;MIT License
vertica-python;Apache-2.0 License
slackweb;License not found
pygrok;MIT License
nameparser;LGPL (text)
django-braces;License not permissive (text)
query-string;Unlicense License
moviepy;MIT License
retry-decorator;MIT License
pytoml;MIT License (text)
tzwhere;MIT License (text)
dictionaries;MIT License
pyaes;MIT License
update-checker;BSD-2-Clause License
facebook-sdk;Apache-2.0 License
cmdstanpy;BSD-3-Clause License
predicthq;MIT License
base58;MIT License
vowpalwabbit;License not permissive (text)
signalfx;Apache-2.0 License
node-semver;MIT License
pluginbase;License not permissive (text)
elastic-apm;BSD-3-Clause License
thriftpy2;MIT License
pyros-genmsg;License not found
google-cloud-tasks;Apache-2.0 License
conan;MIT License
slimit;MIT License
visitor;MIT License
weka-easypy;BSD-3-Clause License
lunarcalendar;MIT License
bson;License not permissive (text)
pyros-genpy;License not found
furl;License not permissive (text)
port-for;MIT License
django-formtools;License not permissive (text)
circleci;MIT License
polyaxon-client;MIT License
ptable;License not permissive (text)
threatconnect;Apache License (text)
djangorestframework-simplejwt;MIT License
anyconfig;MIT License
markdown2;MIT License (text)
fluent-logger;Apache License (text)
rauth;MIT License
tensorflow-probability;Apache-2.0 License
pytest-flask;MIT License
annoy;Apache-2.0 License
bottleneck;BSD-2-Clause License
pytest-split-tests;MIT License
pytest-benchmark;BSD-2-Clause License
pdf2image;MIT License
google-cloud-automl;Apache-2.0 License
imutils;MIT License
cbor2;MIT License
fabric3;BSD-2-Clause License
boxsdk;Apache-2.0 License
testinfra;Apache-2.0 License
pymemcache;Apache-2.0 License
compound-word-splitter;MIT License
icalendar;License not permissive (text)
pipdeptree;MIT License
polyaxon-cli;MIT License
polyaxon-deploy;MIT License
polyaxon-dockerizer;MIT License
pyshp;MIT License
flatbuffers;Apache-2.0 License
javaobj-py3;Apache-2.0 License
gcs-oauth2-boto-plugin;Apache-2.0 License
pyjks;MIT License
happybase;License not permissive (text)
pympler;Apache-2.0 License
ansiwrap;Apache License (text)
drf-nested-routers;Apache-2.0 License
sklearn-pandas;License not permissive (text)
cmudict;GPL-3.0 License
pronouncing;BSD-3-Clause License
twofish;BSD-3-Clause License
graphene-django;MIT License
ipyparallel;License not permissive (text)
pyhs2;MIT License
tree-format;Apache-2.0 License
django-polymorphic;License not permissive (text)
wand;License not permissive (text)
django-rest-auth;MIT License
allure-python-commons;Apache-2.0 License
platformio;Apache-2.0 License
imagehash;BSD-2-Clause License
python-telegram-bot;License not permissive (text)
pyspark-flame;MIT License
pyzipcode3;Apache License (text)
aws-sam-cli;Apache-2.0 License
radon;MIT License
msgpack-numpy;License not permissive (text)
pyppeteer;MIT License (text)
functions-framework;Apache-2.0 License
snapshottest;MIT License
google-cloud-bigquery-storage;Apache-2.0 License
pyu2f;Apache-2.0 License
youtube-dl-server;Unlicense License
mutagen;GPL-2.0 License
pymdown-extensions;License not permissive (text)
aws-lambda-builders;Apache-2.0 License
wikipedia;MIT License
google-reauth;Apache-2.0 License
pylru;GPL-2.0 License
flake8-print;MIT License
fastdtw;MIT License
liac-arff;MIT License
minio;Apache-2.0 License
pyramid;License not permissive (text)
zstandard;BSD-3-Clause License
sagemaker;Apache-2.0 License
polyline;MIT License
textwrap3;License not found
autoflake;MIT License
ggplot;BSD-2-Clause License
gevent-websocket;Apache License (text)
routes;MIT License
fancycompleter;License not found
stups-tokens;Apache License (text)
transitions;MIT License
uszipcode;MIT License
jenkinsapi;MIT License (text)
model-mommy;Apache License (text)
delorean;MIT License
flask-oauthlib;BSD-3-Clause License
pylibmc;BSD-3-Clause License
pytest-repeat;License not permissive (text)
django-reversion;License not permissive (text)
pyfiglet;MIT License (text)
pylint-flask;GPL-2.0 License
pypng;MIT License
dataclasses-json;MIT License
graphframes;Apache-2.0 License
papermill;BSD-3-Clause License
librato-metrics;License not permissive (text)
motor;Apache-2.0 License
konlpy;License not permissive (text)
lmdb;License not permissive (text)
pyhocon;Apache-2.0 License
py-spy;MIT License
exifread;BSD-3-Clause License
django-picklefield;MIT License
scikit-build;MIT License (text)
palettable;License not permissive (text)
ntplib;MIT License (text)
graphql-server-core;MIT License
j2cli;BSD-2-Clause License
ffmpeg-python;Apache-2.0 License
google-cloud-texttospeech;Apache-2.0 License
edn-format;Apache License (text)
stups-zign;Apache License (text)
lifetimes;MIT License
stups-cli-support;Apache License (text)
geoalchemy2;MIT License
trains;Apache-2.0 License
pep517;MIT License
tox-travis;MIT License
django-ses;MIT License
httpagentparser;MIT License
pytest-watch;MIT License
chevron;MIT License
jieba;MIT License
prawcore;BSD-2-Clause License
flake8-commas;MIT License (text)
pytest-pythonpath;MIT License
fasttext;MIT License
pdbpp;BSD-3-Clause License
rq-scheduler;MIT License
swagger-ui-bundle;Apache License (text)
django-waffle;License not permissive (text)
tfrecord-lite;MIT License
cookiejar;MIT License
iptools;BSD-2-Clause License
mando;MIT License
google-cloud-profiler;Apache-2.0 License
openshift;Apache-2.0 License
pyreadline;License not found
python-string-utils;MIT License
integrationhelper;MIT License
django-treebeard;Apache-2.0 License
nose2;Python Software Foundation (text)
django-redis-cache;License not permissive (text)
serverlessrepo;Apache-2.0 License
mkdocs-material;MIT License
flake8-builtins;GPL-2.0 License
flake8-isort;License not permissive (text)
aiogithubapi;MIT License
rasterio;License not permissive (text)
nest-asyncio;BSD-2-Clause License
proglog;MIT License (text)
python-gilt;MIT License
threadloop;MIT License
yattag;License not found
hupper;MIT License
tsfresh;MIT License
hacs-frontend;MIT License
praw;BSD-2-Clause License
py3nvml;BSD-3-Clause License
mercantile;BSD-3-Clause License
colour;BSD-2-Clause License
pytest-flake8;License not permissive (text)
jupyter-nbextensions-configurator;Modified BSD License (text)
pyfakefs;Apache-2.0 License
pylint-celery;GPL-2.0 License
ipy;License not permissive (text)
vobject;License not found
transaction;License not permissive (text)
github3-py;License not permissive (text)
authy;MIT License
maxminddb-geolite2;License not permissive (text)
flasgger;MIT License
bingads;MIT License (text)
lime;BSD-2-Clause License
dodgy;MIT License
python-pptx;MIT License
numpydoc;License not permissive (text)
pypd;MIT License
molecule;MIT License
stomp-py;Apache-2.0 License
aiohttp-cors;Apache-2.0 License
progressbar;LGPL (text)
python-redis-lock;BSD-2-Clause License
affine;License not permissive (text)
crc16;LGPL-3.0 License
h2o-pysparkling-2-4;Apache-2.0 License
asana;MIT License
mss;MIT License
beaker;License not permissive (text)
ec2-metadata;MIT License
neotime;Apache-2.0 License
prospector;GPL-2.0 License
python-nvd3;MIT License (text)
jupyter-latex-envs;Modified BSD License (text)
ansible-tower-cli;Apache-2.0 License
xhtml2pdf;Apache-2.0 License
vulture;MIT License
gspread-dataframe;MIT License
leather;MIT License
agate;MIT License
superlance;License not permissive (text)
pyspark-stubs;Apache-2.0 License
pytest-pylint;MIT License
sphinxcontrib-httpdomain;License not permissive (text)
base64io;Apache-2.0 License
nox;Apache-2.0 License
aws-encryption-sdk-cli;Apache-2.0 License
feather-format;Apache-2.0 License
pydotplus;MIT License
python-rapidjson;MIT License (text)
elasticsearch-curator;Apache License (text)
markuppy;MIT License
rpyc;License not permissive (text)
newlinejson;License not permissive (text)
torchtext;BSD-3-Clause License
django-otp;BSD-2-Clause License
setoptconf;MIT License
snuggs;MIT License
neobolt;Apache-2.0 License
pytest-randomly;MIT License
django-health-check;MIT License
django-ratelimit;Apache License (text)
jupyter-contrib-core;Modified BSD License (text)
requirements-detector;MIT License
filetype;MIT License
check-manifest;MIT License
wordsegment;Apache License (text)
google-cloud-ndb;Apache-2.0 License
jupyter-contrib-nbextensions;License not permissive (text)
google-crc32c;Apache-2.0 License
djangorestframework-csv;BSD-2-Clause License
dateutils;0BSD License
crayons;MIT License
googletrans;MIT License
pytest-variables;License not permissive (text)
biopython;License not permissive (text)
simpleitk;Apache-2.0 License
json-log-formatter;MIT License
google-api-helper;GPL-3.0 License
channels-redis;BSD-3-Clause License
robotframework-requests;MIT License
django-anymail;BSD 3-Clause License (text)
h3;Apache-2.0 License
restructuredtext-lint;Unlicense License
trollius;Apache-2.0 License
ansicolors;ISC License
jaeger-client;Apache-2.0 License
pandas-profiling;MIT License
jupyter-highlight-selected-word;Modified BSD License (text)
cov-core;MIT License
mpld3;BSD-3-Clause License
wasmer;MIT License
pytest-aiohttp;Apache-2.0 License
django-bootstrap4;BSD-3-Clause License
junitparser;Apache License (text)
flask-session;License not permissive (text)
pyfcm;MIT License
easydict;LGPL-3.0 License
flask-apispec;MIT License
impyla;Apache-2.0 License
pyahocorasick;BSD-3-Clause License
flask-graphql;MIT License
teamcity-messages;Apache-2.0 License
jinjasql;MIT License
pandasql;MIT License
django-ckeditor;License not permissive (text)
pytest-remotedata;BSD-3-Clause License
utils;LGPL-3.0 License
urlobject;Unlicense License
category-encoders;BSD-3-Clause License
protorpc;Apache-2.0 License
mypy-protobuf;Apache-2.0 License
hacking;Apache-2.0 License
graypy;BSD-3-Clause License
xmlrunner;LGPL-3.0 License
diff-cover;Apache-2.0 License
django-grappelli;License not permissive (text)
django-tables2;License not permissive (text)
xvfbwrapper;MIT License (text)
pywinauto;BSD-3-Clause License
onnxruntime;MIT License
pyhcl;MPL-2.0 License
objgraph;MIT License
django-guardian;MIT License (text)
smdebug-rulesconfig;Apache-2.0 License
limits;MIT License
eth-utils;MIT License
easy-thumbnails;BSD-3-Clause License
jsonpath-rw-ext;Apache-2.0 License
pytest-base-url;License not permissive (text)
plaster-pastedeploy;MIT License
hjson;MIT License (text)
pyldap;License not permissive (text)
psycogreen;License not permissive (text)
first;MIT License
ortools;License not found
pydevd;EPL-1.0 License
progress;License not permissive (text)
tableauserverclient;MIT License (text)
pytest-selenium;License not permissive (text)
patch-ng;MIT License (text)
uritools;MIT License
google-cloud-secret-manager;Apache-2.0 License
sacrebleu;Apache-2.0 License
missingno;MIT License
flask-bootstrap;Apache License (text)
python-redis;MIT License
pudb;License not permissive (text)
plaster;MIT License
stestr;Apache-2.0 License
readthedocs-sphinx-ext;MIT License
ccy;BSD-3-Clause License
pysam;MIT License
tinydb;MIT License
trueskill;License not permissive (text)
htcondor;License not found
django-silk;MIT License
sphinxcontrib-plantuml;BSD-2-Clause License
civis;BSD-3-Clause License
nbsphinx;MIT License
gnupg;GPL-3.0 License
eth-typing;MIT License
confuse;MIT License
pex;Apache-2.0 License
m2crypto;License not permissive (text)
click-log;MIT License
environs;MIT License
google-cloud-redis;Apache-2.0 License
dynaconf;MIT License
py-moneyed;BSD-3-Clause License
dumb-init;MIT License
braintree;MIT License
django-fsm;MIT License
deepmerge;MIT License
apache-libcloud;Apache-2.0 License
fpdf;LGPL-3.0 License
json2parquet;MIT License
webassets;License not permissive (text)
elementpath;MIT License
google-cloud-iam;Apache-2.0 License
imgaug;MIT License
testing-common-database;Apache-2.0 License
djangorestframework-xml;BSD-3-Clause License
pybrake;MIT License (text)
google-cloud-asset;Apache-2.0 License
sorl-thumbnail;BSD-3-Clause License
jinja2-pluralize;BSD-3-Clause License
compatibility-lib;Apache-2.0 License
web3;MIT License
djangorestframework-camel-case;License not permissive (text)
placebo;Apache-2.0 License
bravado-core;License not permissive (text)
mizani;BSD-3-Clause License
cvxpy;Apache License (text)
importlib;Python Software Foundation (text)
flask-principal;MIT License
lifelines;MIT License
django-celery;BSD-3-Clause License
osqp;Apache-2.0 License
suds-py3;LGPL-3.0 License
onnxconverter-common;MIT License
google-cloud-datacatalog;Apache-2.0 License
pyjarowinkler;Apache-2.0 License
rednose;MIT License
xmlschema;MIT License
zope-sqlalchemy;License not permissive (text)
requests-unixsocket;Apache-2.0 License
sphinxcontrib-bibtex;License not permissive (text)
httpbin;ISC License
django-jsonfield;License not permissive (text)
gsutil;Apache-2.0 License
maturin;Apache License (text)
comtypes;License not permissive (text)
ncclient;Apache-2.0 License
pygresql;MIT License (text)
mecab-python3;LGPL (text)
pyroute2;License not found
graphite-web;Apache-2.0 License
google-cloud-scheduler;Apache-2.0 License
eth-abi;MIT License
zeroconf;LGPL-2.1 License
latexcodec;License not permissive (text)
img2pdf;LGPL-3.0 License
sphinx-autobuild;MIT License
tlslite;License not permissive (text)
currencyconverter;Apache-2.0 License
pytest-custom-exit-code;MIT License
git-url-parse;MIT License
datasketch;MIT License
geventhttpclient-wheels;License not permissive (text)
django-user-agents;MIT License
pyscreeze;BSD-3-Clause License
httpie;BSD-3-Clause License
ez-setup;License not found
django-prometheus;Apache-2.0 License
pandas-datareader;License not permissive (text)
alpha-vantage;MIT License
flake8-blind-except;MIT License
sphinxcontrib-spelling;BSD-2-Clause License
requests-cache;BSD-2-Clause License
resource;License not found
pygtrie;Apache-2.0 License
jsonform;License not found
jaraco-classes;MIT License
jsonsir;License not found
python-easyconfig;License not found
python-etcd;MIT License (text)
dumbyaml;MIT License
django-classy-tags;License not permissive (text)
envs;Apache-2.0 License
collectd;License not permissive (text)
textfsm;Apache-2.0 License
robotframework-selenium2library;License not found
pytest-pep8;MIT License
distance;GPL-2.0 License
flask-cache;License not permissive (text)
keras2onnx;Apache-2.0 License
auth0-python;MIT License
plotnine;GPL-2.0 License
colorclass;MIT License
skl2onnx;Apache-2.0 License
django-csp;License not permissive (text)
splunk-sdk;Apache-2.0 License
flex;MIT License
scs;MIT License
ecos;GPL-3.0 License
mlxtend;License not permissive (text)
onnxmltools;Apache-2.0 License
pyautogui;BSD-3-Clause License
auth;MIT License
createsend;MIT License
horovod;Apache License (text)
dirq;Apache License (text)
coremltools;BSD-3-Clause License
aiocontextvars;License not permissive (text)
commentjson;MIT License
jaraco-text;MIT License
pybtex-docutils;License not permissive (text)
lazy;BSD-2-Clause License
django-haystack;MIT License (text)
rpy2;GPL-2.0 License
us;BSD-3-Clause License
phik;Apache License (text)
jaraco-collections;MIT License
pytest-mypy;MIT License
bump2version;MIT License
fs;MIT License
pymsgbox;BSD-3-Clause License
cheetah3;MIT License (text)
fastcluster;License not permissive (text)
atari-py;License not permissive (text)
testing-postgresql;Apache-2.0 License
flatten-json;MIT License
termstyle;BSD-3-Clause License
aioresponses;MIT License
google-oauth;MIT License
google-cloud-securitycenter;Apache-2.0 License
nosexcover;MIT License
robotframework-sshlibrary;Apache License (text)
textdistance;MIT License
nimbusml;MIT License (text)
django-bulk-update;MIT License
infinity;BSD-3-Clause License
python-heatclient;Apache-2.0 License
flask-rq2;MIT License
google-cloud-iot;Apache-2.0 License
selectors34;Python Software Foundation (text)
etcd3;Apache-2.0 License
django-autocomplete-light;MIT License
drf-extensions;MIT License
django-stubs;MIT License
sphinx-autodoc-typehints;MIT License (text)
lml;License not permissive (text)
django-coverage-plugin;Apache-2.0 License
ctutlz;MIT License
humpty;License not permissive (text)
peakutils;MIT License
netmiko;MIT License
intervals;BSD-3-Clause License
python-coveralls;Apache License (text)
google-cloud-datalabeling;Apache-2.0 License
google-cloud-talent;Apache-2.0 License
pyscreenshot;BSD-2-Clause License
google-cloud-os-login;Apache-2.0 License
python-multipart;Apache License (text)
rlp;MIT License
pytweening;BSD-3-Clause License
records;ISC License
import-from-github-com;MIT License
google-cloud-websecurityscanner;Apache-2.0 License
shyaml;BSD-2-Clause License
google-cloud-webrisk;Apache-2.0 License
u-msgpack-python;MIT License
pem;MIT License
py-zabbix;GPL-2.0 License
aerospike;Apache-2.0 License
wsproto;MIT License
gtts-token;MIT License
pyexcel-io;License not permissive (text)
fastprogress;Apache-2.0 License
django-heroku;BSD-3-Clause License
eth-hash;MIT License
httpcore;BSD-3-Clause License
bunch;MIT License
pamela;MIT License (text)
django-axes;MIT License
ofxparse;MIT License
awsiotpythonsdk;Apache-2.0 License
pusher;MIT License
anytree;Apache-2.0 License
treelib;Apache License (text)
overrides;Apache-2.0 License
auditwheel;MIT License (text)
apiclient;MIT License (text)
wsgi-request-logger;License not permissive (text)
honcho;MIT License
testresources;Apache License (text)
colander;License not permissive (text)
boto3-type-annotations;MIT License
utlz;MIT License
django-pipeline;MIT License
django-cacheops;BSD-3-Clause License
ptpython;BSD-3-Clause License
construct;License not permissive (text)
spark-df-profiling;MIT License
pprintpp;License not permissive (text)
line-profiler;License not permissive (text)
mockito;MIT License
tavern;MIT License
dataclasses-serialization;MIT License
hyper;MIT License
json-rpc;MIT License
algoliasearch;MIT License
nibabel;License not permissive (text)
logzio-python-handler;Apache-2.0 License
django-constance;BSD-3-Clause License
cpplint;License not permissive (text)
asyncssh;License not permissive (text)
pydrive;Apache License (text)
djangorestframework-filters;License not permissive (text)
rake-nltk;MIT License
python-jose-cryptodome;MIT License
disklist;MIT License
eth-keys;MIT License
pyqrcode;BSD-3-Clause License
pyod;BSD-2-Clause License
great-expectations;Apache-2.0 License
pydicom;MIT License (text)
flask-mysql;MIT License
itopy;MIT License
spotipy;MIT License
logstash-formatter;MIT License
speechrecognition;License not permissive (text)
twitter-common-lang;Apache License (text)
django-admin-rangefilter;MIT License
artifactory;MIT License
speaklater;License not permissive (text)
pycontracts;License not permissive (text)
eth-account;MIT License
flashtext;MIT License
pytest-random-order;MIT License
mailchimp3;MIT License
pygerduty;MIT License
requests-pkcs12;ISC License
injector;BSD-3-Clause License
pamqp;BSD-3-Clause License
word2number;MIT License
pybluez;GPL-2.0 License
selectors2;MIT License
flake8-logging-format;Apache-2.0 License
pynput;LGPL (text)
m2r;MIT License
svgwrite;License not permissive (text)
marisa-trie;MIT License
async-lru;MIT License
hexbytes;MIT License
heroku3;License not permissive (text)
pytest-dependency;Apache-2.0 License
pygetwindow;BSD-3-Clause License
durationpy;MIT License
wurlitzer;MIT License
wmi;License not found
kappa;Apache-2.0 License
profilehooks;MIT License
requests-html;MIT License
httmock;Apache License (text)
eth-keyfile;MIT License
implicit;MIT License
image;License not permissive (text)
flask-assets;BSD-2-Clause License
patch;License not found
yappi;MIT License
eth-rlp;MIT License
django-bootstrap3;BSD-3-Clause License
mkdocs-minify-plugin;MIT License
seleniumbase;MIT License
xmljson;MIT License
graphene-sqlalchemy;MIT License
python-twitter;Apache License (text)
gtts;MIT License
cmarkgfm;MIT License
oci;Apache License (text)
jupyterhub;License not permissive (text)
django-auth-ldap;BSD-2-Clause License
memcnn;MIT License
rpqueue;LGPL-2.1 License
zappa;MIT License
asyncio-nats-client;Apache-2.0 License
addict;MIT License
pyrect;BSD-3-Clause License
flask-debugtoolbar;License not permissive (text)
stop-words;BSD-3-Clause License
trafaret;BSD-2-Clause License
pytest-azurepipelines;MIT License
property-manager;MIT License
dlib;BSL-1.0 License
stopit;MIT License
django-object-actions;Apache-2.0 License
geohash2;AGPL-3.0 License
coverage-badge;MIT License
glom;License not permissive (text)
readchar;License not found
hdbscan;BSD-3-Clause License
django-compat;MIT License
umap-learn;BSD-3-Clause License
django-sekizai;License not permissive (text)
testrepository;Apache License (text)
pandoc;License not found
comet-ml;License not found
marshmallow-oneofschema;MIT License
rdflib-jsonld;License not permissive (text)
flake8-debugger;License not found
jsonmerge;MIT License
pytest-profiling;MIT License
piexif;MIT License
flask-limiter;MIT License
ebaysdk;CDDL (text)
mockredispy;Apache-2.0 License
pyopengl;License not permissive (text)
sphinx-markdown-tables;GPL-3.0 License
splinter;BSD-3-Clause License
dacite;MIT License
edgegrid-python;Apache-2.0 License
pytest-spark;MIT License
transifex-client;GPL-2.0 License
eyed3;GPL-3.0 License
codetiming;MIT License
django-modeltranslation;BSD-3-Clause License
django-admin-sortable2;MIT License
face;License not permissive (text)
pygeohash;License not found
pytest-shard;MIT License
requirements-parser;License not permissive (text)
hmsclient;Apache-2.0 License
shrub-py;Apache-2.0 License
google-ads;Apache-2.0 License
flake8-tidy-imports;MIT License
titlecase;MIT License
pywatchman;Apache-2.0 License
tokenize-rt;MIT License
scrypt;BSD 2-Clause License (text)
robotremoteserver;Apache License (text)
reverse-geocoder;LGPL-2.1 License
pymc3;Apache License (text)
pipfile;License not permissive (text)
pastescript;License not found
pytest-socket;MIT License
flask-talisman;Apache-2.0 License
meson;Apache-2.0 License
django-tastypie;License not permissive (text)
ngram;LGPL-3.0 License
json2html;MIT License
bravado;License not permissive (text)
dbfread;MIT License
pysmb;License not permissive (text)
gdata;License not found
nbclient;Modified BSD License (text)
django-annoying;BSD-3-Clause License
pyudev;LGPL-2.1 License
fastdiff;License not found
cachelib;BSD-3-Clause License
homeassistant;Apache-2.0 License
opentracing-instrumentation;MIT License
pywebpush;MPL-2.0 License
python-statsd;BSD-3-Clause License
zenpy;GPL-3.0 License
quandl;MIT License
lightfm;Apache-2.0 License
imapclient;License not permissive (text)
diamond;MIT License
envparse;MIT License
django-rq;MIT License
pysolr;BSD-3-Clause License
twython;MIT License
lunr;MIT License
wptools;MIT License
oss2;MIT License
selinux;MIT License
paretochart;License not found
cursor;GPL-3.0 License
polling;MIT License
pylama;LGPL-3.0 License
tinyrpc;MIT License
scikit-surprise;BSD-3-Clause License
names;MIT License
blist;License not permissive (text)
cupy-cuda100;MIT License
intelhex;License not permissive (text)
aiopg;BSD-2-Clause License
bayesian-optimization;MIT License
dbutils;MIT License
neo4j;Apache-2.0 License
log-symbols;MIT License
htmlparser;License not found
dohq-artifactory;MIT License
everett;MPL-2.0 License
pymsteams;Apache-2.0 License
wagtail;BSD-3-Clause License
pygeoip;LGPL-3.0 License
assertpy;BSD-3-Clause License
pyrogram;LGPL-3.0 License
spark-nlp;Apache-2.0 License
interpret-core;MIT License
mouseinfo;GPL-3.0 License
wxpython;License not found
warrant;Apache-2.0 License
halo;MIT License
draftjs-exporter;MIT License
django-modelcluster;BSD-3-Clause License
evergreen-py;Apache-2.0 License
webdriver-manager;Apache-2.0 License
mysql;License not found
django-tinymce;MIT License
globre;GPL-3.0 License
envtpl;License not found
spinners;MIT License
couchbase;Apache-2.0 License
checksumdir;MIT License
deap;LGPL-3.0 License
pykmip;Apache-2.0 License
autograd-gamma;MIT License
rethinkdb;Apache-2.0 License
persistent;License not permissive (text)
pyrouge;MIT License
rouge;Apache-2.0 License
varint;MIT License
patool;GPL-3.0 License
pip-licenses;MIT License
pandavro;MIT License
django-configurations;License not permissive (text)
pytest-lazy-fixture;MIT License
flask-babelex;License not permissive (text)
backports-os;Python Software Foundation (text)
starkbank-ecdsa;MIT License
readline;License not found
gputil;MIT License
jobspy;LGPL-2.1 License
pyexcel;License not permissive (text)
vadersentiment;MIT License
multiaddr;License not permissive (text)
moderngl;MIT License
js2py;MIT License
pytest-freezegun;MIT License
dependency-injector;BSD-3-Clause License
yamlordereddictloader;MIT License
pyarabic;GPL-3.0 License
flatten-dict;MIT License
py2neo;Apache-2.0 License
pyactiveresource;MIT License (text)
gnureadline;GPL-3.0 License
pytest-bdd;MIT License
peppercorn;License not permissive (text)
aspy-refactor-imports;MIT License
xdg;ISC License
keystonemiddleware;Apache License (text)
python-geoip;License not permissive (text)
python-jsonrpc-server;MIT License
pyzabbix;License not found
django-crontab;License not permissive (text)
flask-pymongo;BSD-2-Clause License
ifaddr;MIT License
rarfile;ISC License
keras-mxnet;MIT License (text)
ipfshttpclient;MIT License
dfply;GPL-3.0 License
asset;GPL-3.0 License
pyramid-tm;License not permissive (text)
lazy-import;GPL-3.0 License
py2-ipaddress;License not found
btrees;License not permissive (text)
doc8;Apache-2.0 License
scrapy-splash;License not permissive (text)
eradicate;License not found
param;BSD-3-Clause License
cli-helpers;BSD-3-Clause License
ffmpeg-quality-metrics;License not found
click-help-colors;MIT License
scrapy-random-useragent;MIT License
kazurator;MIT License
inquirer;MIT License
unipath;License not found
pyicu;License not permissive (text)
imagecodecs;BSD-3-Clause License
pydruid;Apache License (text)
abbyy;MIT License
pysolar;GPL-3.0 License
aiokafka;Apache-2.0 License
python-barcode;MIT License
omegaconf;BSD-3-Clause License
pysha3;Python Software Foundation (text)
hdfs3;License not permissive (text)
flake8-string-format;MIT License
uhashring;BSD-3-Clause License
pytest-factoryboy;License not found
ratelimiter;Apache-2.0 License
ovs;Apache-2.0 License
python-oauth2;MIT License
dataset;MIT License
pockets;BSD-3-Clause License
shopifyapi;MIT License
telethon;MIT License
python-monkey-business;BSD-2-Clause License
librabbitmq;License not permissive (text)
codacy-coverage;BSD-3-Clause License
pyminizip;License not permissive (text)
cron-descriptor;MIT License
python-xlib;LGPL-2.1 License
awesome-slugify;License not found
hmmlearn;BSD-3-Clause License
pilkit;License not permissive (text)
pygraphviz;License not permissive (text)
glmnet-py;GPL-2.0 License
sqlalchemy-stubs;Apache-2.0 License
web-py;License not permissive (text)
eeweather;Apache-2.0 License
keyboard;MIT License
pep562;MIT License
winkerberos;Apache-2.0 License
interpret-community;MIT License
pathvalidate;MIT License
django-money;License not permissive (text)
pypyodbc;MIT License (text)
vistir;ISC License
pyowm;MIT License
nteract-scrapbook;BSD-3-Clause License
flask-security;MIT License
google-cloud-happybase;MIT License (text)
sfmergeutility;MIT License
django-mathfilters;MIT License
pyxlsb;LGPL-3.0 License
petname;Apache-2.0 License
django-nested-admin;BSD 2-Clause License (text)
django-autoslug;LGPL-3.0 License
repoze-who;License not permissive (text)
